id,company_name,ssm_no,sector,subsector,state,city,address,website,phone,email,hr_contact,linkedin_url,employees_est,demand_signal,quota_signal,compliance_pressure,levy_tier,source_url,source_date,priority_score,notes,created_at
60,WRP Asia Pacific Sdn Bhd,,Manufacturing,,Selangor,,,,,,,,,,,CBP: Finding,,https://www.cbp.gov/trade/forced-labor/withhold-release-orders-and-findings,2026-07-17,100.0,US CBP enforcement action. High compliance pressure.,2026-07-17 00:53:52
61,Palm oil sector - multiple companies,,Plantation,,Various,,,,,,,,,,,CBP: Multiple CBP forced labor findings,,https://www.cbp.gov/trade/forced-labor/withhold-release-orders-and-findings,2026-07-17,100.0,US CBP enforcement action. High compliance pressure.,2026-07-17 00:53:52
124,Boustead Plantations Bhd,,Plantation,,Kuala Lumpur,KL,,https://www.bousteadplantations.com,,,,,6000.0,,,CBP forced labor scrutiny on palm oil,RM640/yr,https://www.mpob.gov.my/,2026-07-17,95.0,Plantation - large foreign workforce (~6000). RM640 levy tier.,2026-07-17 00:53:53
125,Kulim (M) Bhd,,Plantation,,Johor,Johor Bahru,,https://www.kulim.com.my,,,,,4000.0,,,CBP forced labor scrutiny on palm oil,RM640/yr,https://www.mpob.gov.my/,2026-07-17,95.0,Plantation - large foreign workforce (~4000). RM640 levy tier.,2026-07-17 00:53:53
126,IJM Plantations Bhd,,Plantation,,Selangor,Petaling Jaya,,https://www.ijmplantations.com.my,,,,,3000.0,,,CBP forced labor scrutiny on palm oil,RM640/yr,https://www.mpob.gov.my/,2026-07-17,95.0,Plantation - large foreign workforce (~3000). RM640 levy tier.,2026-07-17 00:53:53
127,TH Plantations Bhd,,Plantation,,Kuala Lumpur,KL,,https://www.thplantations.com.my,,,,,3000.0,,,CBP forced labor scrutiny on palm oil,RM640/yr,https://www.mpob.gov.my/,2026-07-17,95.0,Plantation - large foreign workforce (~3000). RM640 levy tier.,2026-07-17 00:53:53
62,VS Industry Bhd,,Manufacturing,,Johor,,,,,,,,12000.0,,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (12000+ est).,2026-07-17 00:53:52
63,Inari Amertron Bhd,,E&E,,Penang,,,,,,,,8000.0,,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (8000+ est).,2026-07-17 00:53:52
64,Unisem (M) Bhd,,E&E,,Perak,,,,,,,,5000.0,,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (5000+ est).,2026-07-17 00:53:52
65,FGV Holdings Bhd,,Plantation,,KL,,,,,,,,20000.0,,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (20000+ est).,2026-07-17 00:53:52
73,Genting Malaysia Bhd,,Hospitality,,KL,,,,,,,,10000.0,,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (10000+ est).,2026-07-17 00:53:52
75,AEON (M) Bhd,,Retail,,KL,,,,,,,,6000.0,,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (6000+ est).,2026-07-17 00:53:52
79,Genting Plantations Bhd,,Plantation,,KL,,,,,,,,8000.0,,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (8000+ est).,2026-07-17 00:53:52
80,PIE Industrial Bhd,,E&E,,Penang,,,,,,,,4000.0,,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (4000+ est).,2026-07-17 00:53:52
81,SKP Resources Bhd,,Manufacturing,,Johor,,,,,,,,5000.0,,,,,https://www.bursamalaysia.com/market_information/announcements/company_announcement,2026-07-17,85.0,Publicly listed. Large foreign workforce (5000+ est).,2026-07-17 00:53:52
